title,web,cite,pdf,abstract
"“Everyone wants to do the model work, not the data work”: Data Cascades in High-Stakes AI",https://dl.acm.org/doi/abs/10.1145/3411764.3445518,405,https://research.google/pubs/pub49953.pdf,
Does the whole exceed its parts? the effect of ai explanations on complementary team performance,https://dl.acm.org/doi/abs/10.1145/3411764.3445717,279,https://dl.acm.org/doi/pdf/10.1145/3411764.3445717,
Manipulating and measuring model interpretability,https://dl.acm.org/doi/abs/10.1145/3411764.3445315,580,https://arxiv.org/pdf/1802.07810.pdf?source=post_page---------------------------,
Expanding explainability: Towards social transparency in ai systems,https://dl.acm.org/doi/abs/10.1145/3411764.3445188,181,https://dl.acm.org/doi/pdf/10.1145/3411764.3445188,
A feature extraction method for classifying beginner and expert skier on a ski simulatour using deep learning,https://www.researchgate.net/profile/Hideaki-Kanai/publication/357927038_A_Feature_Extraction_Method_for_Classifying_Beginner_and_Expert_skier_on_a_Ski_Simulator_using_Deep_Learning/links/6386f63c557903537067b78d/A-Feature-Extraction-Method-for-Classifying-Beginner-and-Expert-skier-on-a-Ski-Simulator-using-Deep-Learning.pdf,1,https://www.researchgate.net/profile/Hideaki-Kanai/publication/357927038_A_Feature_Extraction_Method_for_Classifying_Beginner_and_Expert_skier_on_a_Ski_Simulator_using_Deep_Learning/links/6386f63c557903537067b78d/A-Feature-Extraction-Method-for-Classifying-Beginner-and-Expert-skier-on-a-Ski-Simulator-using-Deep-Learning.pdf,
Making Everyday Things Talk: Speculative Conversations into the Future of Voice Interfaces at Home,https://research.tudelft.nl/en/publications/making-everyday-things-talk-speculative-conversations-into-the-fu,0,,
Prompt programming for large language models: Beyond the few-shot paradigm,https://dl.acm.org/doi/abs/10.1145/3411763.3451760,248,https://arxiv.org/pdf/2102.07350,
"What makes a dark pattern... dark? design attributes, normative considerations, and measurement methods",https://dl.acm.org/doi/abs/10.1145/3411764.3445610,132,https://arxiv.org/pdf/2101.04843,
Viral visualizations: How coronavirus skeptics use orthodox data practices to promote unorthodox science online,https://dl.acm.org/doi/abs/10.1145/3411764.3445211,121,https://dl.acm.org/doi/pdf/10.1145/3411764.3445211,
Grand challenges in immersive analytics,https://dl.acm.org/doi/abs/10.1145/3411764.3446866,104,https://dl.acm.org/doi/pdf/10.1145/3411764.3446866,
How weird is CHI?,https://dl.acm.org/doi/abs/10.1145/3411764.3445488,98,https://dl.acm.org/doi/pdf/10.1145/3411764.3445488,
Privacy norms for smart home personal assistants,https://dl.acm.org/doi/abs/10.1145/3411764.3445122,217,https://www.usenix.org/system/files/soups2019-abdi.pdf,
What do we mean by “accessibility research”? A literature survey of accessibility papers in CHI and ASSETS from 1994 to 2019,https://dl.acm.org/doi/abs/10.1145/3411764.3445412,91,https://dl.acm.org/doi/pdf/10.1145/3411764.3445412,
The psychological well-being of content moderators: the emotional labor of commercial moderation and avenues for improving support,https://dl.acm.org/doi/abs/10.1145/3411764.3445092,87,https://www.researchgate.net/profile/Sukrit-Venkatagiri-3/publication/351417825_The_Psychological_Well-Being_of_Content_Moderators_The_Emotional_Labor_of_Commercial_Moderation_and_Avenues_for_Improving_Support/links/643cd781e881690c4bdd0ae2/The-Psychological-Well-Being-of-Content-Moderators-The-Emotional-Labor-of-Commercial-Moderation-and-Avenues-for-Improving-Support.pdf,
Large scale analysis of multitasking behavior during remote meetings,https://dl.acm.org/doi/abs/10.1145/3411764.3445243,97,https://arxiv.org/pdf/2101.11865,
Extended reality (XR) remote research: a survey of drawbacks and opportunities,https://dl.acm.org/doi/abs/10.1145/3411764.3445170,87,https://arxiv.org/pdf/2101.08046,
The disagreement deconvolution: Bringing machine learning performance metrics in line with reality,https://dl.acm.org/doi/abs/10.1145/3411764.3445423,85,http://www.kayur.org/papers/chi2021.pdf,
Dark patterns and the legal requirements of consent banners: An interaction criticism perspective,https://dl.acm.org/doi/abs/10.1145/3411764.3445779,97,https://dl.acm.org/doi/pdf/10.1145/3411764.3445779,
The landscape and gaps in open source fairness toolkits,https://dl.acm.org/doi/abs/10.1145/3411764.3445261,83,https://dl.acm.org/doi/pdf/10.1145/3411764.3445261,
