title,web,cite,pdf,abstract
Silly Lamp,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1663479,0,,
Design heuristics for mobile augmented reality game user interfaces,https://dl.acm.org/doi/abs/10.1145/3170427.3188580,7,,
Feels Like Being There Viewers Describe the Quality of Experience of Festival Video Using Their Own Words,https://dl.acm.org/doi/abs/10.1145/3170427.3188507,7,,
HCIxDementia workshop: engaging people living with dementia,https://dl.acm.org/doi/abs/10.1145/3170427.3170613,7,,
Remote expert for assistance in a physical operational task,https://dl.acm.org/doi/abs/10.1145/3170427.3188598,6,,
# Scanners 2-the MOMENT: a new brain-controlled movie,https://dl.acm.org/doi/abs/10.1145/3170427.3186481,7,https://nottingham-repository.worktribe.com/index.php/preview/927531/1-Main-Submission-Final-CameraReady.pdf,
Jazzy: Leveraging virtual reality layers for hand-eye coordination in users with amblyopia,https://dl.acm.org/doi/abs/10.1145/3170427.3188618,7,,
A comparative study on the effectiveness of adaptive exergames for stroke rehabilitation in pakistan,https://dl.acm.org/doi/abs/10.1145/3170427.3188523,6,,
Feeling speech on the arm,https://dl.acm.org/doi/abs/10.1145/3170427.3186537,7,,
Prototyping biotic games and interactive experiments with javaScript,https://dl.acm.org/doi/abs/10.1145/3170427.3186510,6,,
Improving Social Presence with a Virtual Human via Multimodal Physical--Virtual Interactivity in AR,https://dl.acm.org/doi/abs/10.1145/3170427.3180291,7,https://dl.acm.org/doi/pdf/10.1145/3170427.3180291,
How social dynamics and the context of digital content impact workplace remix,https://dl.acm.org/doi/abs/10.1145/3173574.3174171,4,https://www.microsoft.com/en-us/research/uploads/prod/2018/11/How-Social-Dynamics-and-the-Context-of-Digital-Content-Impact-Workplace-Remix.pdf,
Games and Play SIG: Engaging Small Developer Communities,https://dl.acm.org/doi/abs/10.1145/3170427.3185360,6,,
Living labs: Measuring human experience in the built environment,https://dl.acm.org/doi/abs/10.1145/3170427.3170627,6,,
Rethinking engagement with online news through social and visual co-annotation,https://dl.acm.org/doi/abs/10.1145/3173574.3174150,4,https://livrepository.liverpool.ac.uk/3019786/1/pn4512-woodA.pdf,
ARTextiles for Promoting Social Interactions Around Personal Interests,https://dl.acm.org/doi/abs/10.1145/3170427.3188589,6,,
Silent chatbot agent amplifies continued-influence effect on misinformation,https://dl.acm.org/doi/abs/10.1145/3170427.3180290,6,,
A showcase of data-enabled design explorations,https://dl.acm.org/doi/abs/10.1145/3170427.3186543,6,,
Mirroru: Scaffolding emotional reflection via in-situ assessment and interactive feedback,https://dl.acm.org/doi/abs/10.1145/3170427.3188517,6,https://drive.google.com/file/d/151tWmwVxuIBucghXglFpCsE9n0ROvTEY/view,
Plunder planet: An adaptive single-and multiplayer fitness game environment for children and young adolescents,https://dl.acm.org/doi/abs/10.1145/3170427.3186476,6,,
Designing for Transparency of Coffee Production Costs,https://dl.acm.org/doi/abs/10.1145/3170427.3188508,6,,
ExtensionClip: Touch point transfer device linking both sides of a smartphone for mobile VR environments,https://dl.acm.org/doi/abs/10.1145/3170427.3188644,7,,
PD notify: Investigating personal content on public displays,https://dl.acm.org/doi/abs/10.1145/3170427.3188475,7,http://nhenze.net/uploads/PD-Notify-Investigating-Personal-Content-on-Public-Displays.pdf,
Internet of tangible things: Workshop on tangible interaction with the internet of things,https://dl.acm.org/doi/abs/10.1145/3170427.3170634,6,https://discovery.ucl.ac.uk/id/eprint/10046356/1/Workshop-proposal-cameraready.pdf,
An initial study of multisensory interaction for outdoor heritage sites,https://dl.acm.org/doi/abs/10.1145/3170427.3188504,6,,
GHShot: 3D Design Versioning for Learning and Collaboration in the Web,https://dl.acm.org/doi/abs/10.1145/3170427.3188446,6,,
Towards dynamic perspective exchange in physical games,https://dl.acm.org/doi/abs/10.1145/3170427.3188674,6,,
Enabling biographical cognitive stimulation for people with dementia,https://dl.acm.org/doi/abs/10.1145/3170427.3188693,6,https://drive.google.com/file/d/1UtyxMHoVUW7tprqdqgdk2IW2p6fYpNX6/view,
Supernumerary arms for gestural communication,https://dl.acm.org/doi/abs/10.1145/3170427.3188683,6,,
Designing technology for an aging population,https://dl.acm.org/doi/abs/10.1145/3170427.3170641,7,,
Design in the “medical” wild: challenges of technology deployment,https://dl.acm.org/doi/abs/10.1145/3170427.3188571,6,https://dl.acm.org/doi/pdf/10.1145/3170427.3188571,
Novel interaction techniques for collaboration in VR,https://dl.acm.org/doi/abs/10.1145/3170427.3170628,7,,
Designing and optimizing digital applications for medical emergencies,https://dl.acm.org/doi/abs/10.1145/3170427.3188678,6,https://dl.acm.org/doi/pdf/10.1145/3170427.3188678,
"Speech and hands-free interaction: Myths, challenges, and opportunities",https://dl.acm.org/doi/abs/10.1145/3170427.3170660,6,,
Implicit detection of motor impairment in Parkinson's disease from everyday smartphone interactions,https://dl.acm.org/doi/abs/10.1145/3170427.3188502,6,https://drive.google.com/file/d/1LLAy808qD0vXx9rllDb3LR8HdwpAHJqd/view,
Human-robot teaming,https://dl.acm.org/doi/abs/10.1145/3170427.3186326,6,,
Tangible play surface using passive rfid sensor array,https://dl.acm.org/doi/abs/10.1145/3170427.3186514,6,,
